Time,Subsystem #1|Branch Currents|MAINIA,Subsystem #1|Branch Currents|MAINIB,Subsystem #1|Branch Currents|MAINIC
0.04383158,0.070711441,0.105314419,-0.149491742
0.04399824,0.06550929,0.115464307,-0.154326066
0.0441649,0.06011647,0.125105232,-0.158565521
0.04433156,0.054558322,0.134207904,-0.162206501
0.04449822,0.048858486,0.142746672,-0.165247008
0.04466488,0.043038305,0.150699452,-0.167685732
0.04483154,0.037117172,0.158047244,-0.169522077
0.0449982,0.031112352,0.164773896,-0.170755863
0.04516486,0.025039133,0.170865521,-0.171386764
0.04533152,0.018911608,0.176310718,-0.171415106
0.04549818,0.012741947,0.181099296,-0.170840219
0.04566484,0.006541026,0.185221523,-0.169660106
0.0458315,3.19E-04,0.188669056,-0.167873308
0.04599816,-0.00591304,0.191433892,-0.165478304
0.04616482,-0.012144701,0.193509102,-0.162474856
0.04633148,-0.018363982,0.194888115,-0.1588635
0.04649814,-0.024557771,0.195564374,-0.154645607
0.0466648,-0.030711439,0.195532084,-0.149824783
0.04683146,-0.036808427,0.194786117,-0.144406706
0.04699812,-0.042830184,0.193321809,-0.138399363
0.04716478,-0.048755977,0.191135675,-0.131813765
0.04733144,-0.054563075,0.188225895,-0.124664605
0.0474981,-0.060226318,0.184592024,-0.116970047
0.04766476,-0.065718599,0.180235937,-0.108752437
0.04783142,-0.07101123,0.175162211,-0.100038365
0.04799808,-0.076074034,0.169378296,-0.090858795
0.04816474,-0.080876708,0.162896559,-0.081249669
0.0483314,-0.085387491,0.155731082,-0.071250089
0.04849806,-0.089574717,0.147899911,-0.060903087
0.04866472,-0.093407854,0.139426246,-0.050255831
0.04883138,-0.096857935,0.130337805,-0.039358612
0.04899804,-0.09989772,0.120666914,-0.02826469
0.0491647,-0.102502912,0.11045111,-0.017029641
0.04933136,-0.104652576,0.09973269,-0.005710645
0.04949802,-0.106329061,0.088558108,0.005634046
0.04966468,-0.107518755,0.07697776,0.01694604
0.04983134,-0.108212628,0.065045774,0.02816765
0.049998,-0.10840591,0.0528192,0.039242323
0.05016466,-0.108098298,0.040357374,0.050115403
0.05033132,-0.107294247,0.027721638,0.060734741
0.05049798,-0.106002435,0.014974489,0.071051039
0.05066464,-0.104235552,0.002178866,0.081018344
0.0508313,-0.102011003,-0.010602022,0.090594932
